State,Opcenito,izgled,okus,miris,osjecaj
1,3.95,3.3,3.78,4.16,3.68
2,3.51,3.21,3.53,3.58,3.43
3,3.3,3.08,3.39,3.63,3.4
4,3.54,3.21,3.52,4.0,3.52
5,4.08,4.1,4.18,4.11,4.07
6,4.07,4.11,4.14,4.02,4.06
7,4.51,4.39,4.54,4.42,4.49
8,4.13,4.36,4.15,4.19,4.08
9,4.16,4.19,4.16,4.09,4.07
10,4.26,4.18,4.39,4.27,4.21
11,4.03,3.96,4.12,4.04,3.94
12,4.6,4.42,4.63,4.61,4.48
13,3.85,3.89,3.92,3.89,3.87
14,4.09,4.1,4.11,4.1,4.04
15,4.36,4.37,4.48,4.34,4.32
16,3.91,3.87,3.93,3.78,3.85
17,4.18,4.24,4.19,4.08,4.08
18,4.21,4.14,4.15,3.9,4.08
19,4.23,4.31,4.32,4.2,4.26
20,4.02,4.03,3.89,3.67,3.8
21,4.31,4.14,4.4,4.29,4.29
22,4.06,4.02,4.37,4.35,4.26
23,4.23,4.04,4.15,4.02,4.02
24,4.29,4.38,4.45,4.37,4.35
25,4.23,4.08,4.25,4.15,4.11
